player_id,username,password,name,surname,nationality,date_of_birth,market_value,main_position,strong_foot,height
1,burak_yilmaz,hash_Str0ng!1,Burak,Yilmaz,Türkiye,1985-07-15,500000,Forward,Right,188
2,arda_guler,hash_Str0ng!2,Arda,Guler,Türkiye,2005-02-25,30000000,Midfielder,Left,175
3,gedson_fernandes,hash_Str0ng!3,Gedson,Fernandes,Portugal,1999-01-09,15000000,Midfielder,Right,181
4,fernando_muslera,hash_Str0ng!4,Fernando,Muslera,Uruguay,1986-06-16,1000000,Goalkeeper,Right,190
5,altay_bayindir,hash_1,Altay,Bayindir,Türkiye,1998-04-14,10000000,Goalkeeper,Right,198
6,ferdi_kadioglu,hash_2,Ferdi,Kadioglu,Türkiye,1999-10-07,20000000,Defender,Right,174
7,caglar_soyuncu,hash_3,Caglar,Soyuncu,Türkiye,1996-05-23,15000000,Defender,Right,185
8,ozan_kabak,hash_4,Ozan,Kabak,Türkiye,2000-03-25,12000000,Defender,Right,186
9,salih_ozcan,hash_5,Salih,Ozcan,Türkiye,1998-01-11,13000000,Midfielder,Right,182
10,hakan_calhanoglu,hash_6,Hakan,Calhanoglu,Türkiye,1994-02-08,35000000,Midfielder,Right,178
11,orkun_kokcu,hash_7,Orkun,Kokcu,Türkiye,2000-12-29,30000000,Midfielder,Right,175
12,kerem_akturkoglu,hash_8,Kerem,Akturkoglu,Türkiye,1998-10-21,18000000,Forward,Right,173
13,baris_yilmaz,hash_9,Baris,Yilmaz,Türkiye,2000-05-23,15000000,Forward,Right,186
14,enes_unal,hash_10,Enes,Unal,Türkiye,1997-05-10,25000000,Forward,Right,187
15,cengiz_under,hash_11,Cengiz,Under,Türkiye,1997-07-14,16000000,Forward,Left,173
16,arzgr222,arzgr222,Abdullah,Rüzgar,Türkiye,2003-06-26,185000000,Forward,Both,183
17,berkgkts,berkgkts,Berk,Göktaş,Türkiye,2004-01-01,78000000,Forward,Right,178
18,b_ayd23,b_ayd23,Poyraz,Güneşçelik,Türkiye,2003-12-12,123000000,Midfielder,Right,177
